300,31.6,26
301,32,25.4
302,32.4,25.6
303,30.6,24.9
304,31.5,24.2
305,30,23.8
306,29.8,23.4
307,30,23.4
308,30,23.4
309,30.8,23.7
310,30.3,23.4
311,30,23.2
312,32.2,23.7
313,32.3,23.8
314,32,23
315,30.7,22.7
316,28.1,22.2
317,25.3,20.9
318,29.7,22.7
319,29.1,22.6
320,25.6,21.1
321,28.1,21.5
322,28.9,21.6
323,29.3,21.7
324,29.5,22.5
325,30.5,22.8
326,31.2,23.7
327,30.9,23.1
328,31.4,22.7
329,31.8,23
330,30.7,22.8
331,29.4,22
332,28.9,21.4
333,28.5,21.2
334,29.5,22.6
335,29.5,23
336,30.2,22.3
337,27,22
338,27.9,22.2
339,29.8,22
340,30.2,22.3
341,30.8,22.8
342,30.7,22.7
343,30.4,22.4
344,26.9,20.5
345,26.2,19.9
346,26.8,19.4
347,25.7,18.3
348,25.8,18.1
349,25.4,17.9
350,24.8,18
351,25.3,18.8
352,24.9,17.9
353,26,17.6
354,25.3,17.1
355,25,17.1
356,22.6,16.3
357,25.2,16.8
358,24.4,17.2
359,28.8,19.3
360,30.5,20.7
361,30,21.3
362,31,22.3
363,30.8,21.5
364,30.3,21.1
365,30.7,20.5
